variation,verified_reviews,review_score
White  Spot,Awesome cute and smart!,0.978494623655914
White  Spot,Excellent purchase!!,0.978494623655914
White  Spot,Great!,0.978494623655914
White  Spot,Awesome. I love that it shows the lyrics of songs!,0.967741935483871
White  Spot,very nice gadget. love it's look.,0.956989247311828
White  Spot,"Fantastic product, absolutely love it!",0.956989247311828
White  Spot,This echo spot is great I love it,0.956989247311828
White  Spot,Excellent,0.946236559139785
White  Spot,"Bought this for my bedroom and the Show for my living room. Love them both. The Spot is perfect for bedside and has an impressive design. Shows lyrics, photos , etc. I paired it with a Smart Plug for the bedroom lamps &#34;Alexa, turn off lights&#34;, love it.",0.9247311827956989
White  Spot,Love my Echo Spot!,0.9247311827956989
White  Spot,Nice upgrade from an Echo Dot.,0.9247311827956989
White  Spot,Awesome item that I had to buy two!,0.9139784946236559
White  Spot,Great buy!,0.9139784946236559
White  Spot,Great size for bedside. Plus it dims at night!!,0.9139784946236559
White  Spot,"The voice recognition is amazing, perfect companion for the bedroom.",0.9139784946236559
White  Spot,"Works great I love it, grand daughter digs the watching of cartoons on it lol",0.8817204301075269
White  Spot,I love the echo spot!,0.8494623655913979
White  Spot,The most fascinating thing I've ever bought,0.8494623655913979
White  Spot,I love my echo spot!,0.8494623655913979
White  Spot,"Love it!! Perfect for an alarm clock replacement, plus so much more!!",0.8494623655913979
White  Spot,We absolutely love this product!!! Wish we would have bought this instead of the dots!!!,0.7849462365591398
White  Spot,I love it.  It is so easy to use,0.7849462365591398
White  Spot,This is a gift.  But I have one and love it.  The words to songs are great and the I live the face I chose for the clock.  This is my favorite echo (unless I am listening to music).,0.7634408602150538
White  Spot,"Love it, Love it, Love it!!! Bought it on Prime Day, then had buyers remorse, but once I got it, it was Love at first sight.",0.7419354838709677
White  Spot,Great sound and video plus all the great stuff that Alexa has to offer even turns my lights on and off,0.7419354838709677
White  Spot,Love it,0.7311827956989247
White  Spot,love the spot,0.7204301075268817
White  Spot,Works well and was easy to set up.,0.7204301075268817
White  Spot,Responds easily and like the ability to do at night.,0.7096774193548387
White  Spot,Love my spot! She even more than I expected! Great size for a bedroom!,0.7096774193548387
White  Spot,I love it the coolest thing since sliced bread,0.6774193548387096
White  Spot,So far so good.,0.6451612903225806
White  Spot,"Got it and, as expected, ITS GREAT! Almost a swell as my SHOW.",0.6344086021505376
White  Spot,I love it!  I especially love that it is so small and does so much.  Got rid of my old CD/Alarm clock radio.  Much more room on nightstand.,0.5806451612903226
White  Spot,Quick and easy to set up,0.5806451612903226
White  Spot,"I love this thing. At first I thought it wouldn’t stay on the clock and that I would have to suffer through ads forever but when the lights are off it sits on the clock and it’s very comfortable for the eyes, easy set up. Love it",0.5483870967741935
White  Spot,LOVE LOVE LOVE THESE. The only think I notice is that it doesn't pick-up my voice and commands as well as my Echo and Echo Dots (we have 4 Echo products throughout our house). I have this in the kitchen and in my bedroom as my alarm clock. I'm no longer searching for a pen and paper to make lists!!!!,0.5268817204301075
White  Spot,I love my Echo Spot.  Waking to my favorite music.  Being able to completely turn off display at night so my bedroom is dark.  All the skills I have yet to try.  Easy to use.,0.5161290322580645
White  Spot,Love this product I use it as my bedroom clock perfect size with a lot of other options. The only thing I would like to see them add on to it is the ability to fall asleep to mu as if and set a timer for it to go off on it's own. Like you can with tv t hcfe sleep mode.,0.5161290322580645
White  Spot,"What a great little gadget for the house. You ask and it delivers, period. Well done!",0.5161290322580645
White  Spot,I love the size of the echo spot. It fits on my nightstand but has all of the capabilities of my echo show. I like going to sleep with the lightening storm. The images along with the sounds are very relaxing. The calling and messaging feature is great. It’s small enough to take with when we travel. I love and own most of the Alexa products. Our whole family uses them.,0.5053763440860215
