rating,variation,verified_reviews,feedback,review_len,Rn,Rp,Rs,Rc,Rd,Rsc
5,Black,Bought this for my son and he loves it.,1,9,0.16933863112450048,0.0,0.0,0.0069124423963133645,0.0,0.5719
5,Black,Got this for the bathroom love it we can listen music whe. We showering.,1,14,0.28976587603761733,0.5,0.6,0.010752688172043012,0.0,0.6369
5,Black,I have 3-Dots and 2-Original and this new one works perfectly.  Will buy all my future Dots reconditioned.,1,18,0.0,0.37878787878787873,0.5265151515151515,0.013056835637480798,0.0,0.6369
4,Black,Was a little hard to get it to pare up with the others but once it did no problems at all,1,21,0.0,-0.23958333333333334,0.5208333333333333,0.014592933947772658,0.0,0.4279
5,Black,There's really no dislike for Alexa( dot) I thought cortna was cool but Alexa is an awesome application to the family. Unbelievable device which seems alive. A must get.,1,29,0.027543436964861084,0.22000000000000003,0.65,0.02227342549923195,0.0,0.9297
5,Black,Thumbs up!,1,2,0.0,0.0,0.0,0.0015360983102918587,0.0,0.0
5,Black,Workreat,1,1,1.0,0.0,0.0,0.0007680491551459293,0.0,0.0
1,Black,"There was something wrong with the first one that no even the rep I spoke with could fix. The replacement was registered to someone else. When the price of the Dot went down to $39.99 (same price as the refurbished ones), I bought a brand, spanking new one. No problem with the new one.",0,54,0.2140550397816721,-0.02213804713804714,0.42605218855218857,0.0314900153609831,0.0,-0.4664
5,Black,Works as expected!,1,3,0.0,-0.125,0.4,0.002304147465437788,0.0,0.0
5,Black,No problems,1,2,0.0,0.0,0.0,0.0015360983102918587,0.0,0.3089
5,Black,Have these in almost every room. I really have enjoyed them. Works perfectly.,1,13,0.08601908455739399,0.5666666666666667,0.6333333333333333,0.009984639016897081,0.0,0.8307
5,Black,Purchased for grandson.,1,3,0.4497423625087703,0.0,0.0,0.002304147465437788,0.0,0.0
5,Black,Happy with this as I was with the other 2 I ordered!!,1,12,0.0,0.30234375,0.6875,0.007680491551459293,0.0,0.6467
3,Black,"Started taking on her own! Haven’t used it since I unplugged it that day. No one was talking, my daughter was laying in bed next to be and she just started going on about the movie Moana and completely scared the sh*t out of my daughter now.",1,47,0.15151779986042535,0.2833333333333333,0.4666666666666666,0.030721966205837174,0.0,-0.6893
5,Black,It works great the speaker sounds fine and overall would recommend,1,11,0.1019484475904699,0.4055555555555556,0.4166666666666667,0.008448540706605223,0.0,0.8126
5,Black,Great! Just like new!,1,4,0.0,0.5852272727272727,0.6022727272727273,0.0030721966205837174,0.0,0.8011
5,Black,"Loved the price for an essentially brand new Dot!! Opening it, you really couldn’t tell that it was refurbished. Everything looked brand new. For $20 less than a new unit, I couldn’t consider this a better deal! I really love the versatility of the echo dot. Get you one while you can!",1,52,0.248057995351941,0.2743476430976431,0.42558922558922563,0.03225806451612903,0.0,0.9255
5,Black,Pleased with the order just what I wanted!!,1,8,0.18308727522446183,0.78125,1.0,0.006144393241167435,0.0,0.5399
5,Black,"I love Alexa! It's great helping me, making my appointments, playing the songs I like! What else can you do? Looking forward for more.",1,24,0.0,0.7083333333333334,0.6166666666666667,0.017665130568356373,0.0,0.937
5,Black,Love it -- the best.  My experience with refurbished devices is excellent.,1,12,0.0,0.8333333333333334,0.6333333333333333,0.009216589861751152,0.0,0.9201
5,Black,Works amazingly. I bought it for my daughter and she loves it.,1,12,0.13279613931143858,0.6000000000000001,0.9,0.009216589861751152,0.0,0.5719
